Species,Count,Date,Time_start,Time end,Pack,IDs,Photos,Latitude,Longitude,Location,Behaviour,Description,Observer,Record_type,SEX,AGE
Dingo,1,29-04-2023,9:20,13:30,WT,WTF2204,Y,-32.64078,152.18047,Myall River camp,Trapped,Trapped and collared,NJ etc,Researcher,F,S
Dingo,2,27-04-2023,12:46,13:05,JB,UOM2008 UOF2101,Y,-32.67856,152.15867,Running through town from WW to JB CP,Moving,,NJ,Researcher,MF,AA
Dingo,2,28-04-2023,14:38,14:45,JB,UOM2008 UOF2101,Y,-32.66824,152.17868,Golf course and into town along MBR,Moving,Tandem marking RLU along golf course. Clearly paired.,NJ,Researcher,MF,AA
Dingo,1,13-03-2023,11:00,11:05,WT,WTF2102,Y,-32.63973,152.179714,Myall River camp,Moving,Around camp. Photos from BP whatsapp,BP,Researcher,F,A
Dingo,1,13-03-2023,,,SL,SLF2204,Y,-32.54356,152.30978,Mungo bins,Scavening,Eating rubbish,BP,Researcher,F,S
Dingo,1,27-04-2023,18:05,18:10,WT,WTF2204,Y,-32.64052,152.179724,Myall River camp,Moving/foraging,,NJ,Researcher,F,S
Dingo,1,27-04-2023,14:20,14:25,SL,SLF2203,Y,-32.60802,152.232308,SL camp,Moving,,NJ,Researcher,F,S
Dingo,1,28-04-2023,12:57,,SL,SLF2204,Y,-32.60802,152.232308,SL camp,Resting,,NJ,Researcher,F,S
Dingo,1,1-05-2023,11:40,11:43,SL,SLF2204,Y,-32.544078,152.310277,Beach access,Walking,,NJ,Researcher,F,S
Dingo,1,28-04-2023,15:10,15:17,SL,SLF2203,Y,,,,Walking,MBR,NJ,Researcher,F,S
Dingo,2,16-03-2023,14:20,14:50,JB,UOM2008 UOF2101,Y,-32.6726,152.177506,Tandem marking in park,Marking,Video- andy downloaded. He has wound on rump,,Researcher,,
Dingo,1,16-03-2023,15:10,15:17,SL,SLF2203,Y,-32.54198,152.310466,Mungo Brush camp,Resting,,NJ,Researcher,F,S
Dingo,1,16-03-2023,10:00,10:15,JB,UOF2101,Y,-32.674744,152.173819,"Running through HN- seen behind retirement village mostly. From Cafe/bakery, down Moola, to mangroves",Moving,Has open cuts/grazes on face,NJ,Researcher,F,A
Dingo,2,17-03-2023,18:25,18:32,UNK,Unknown Unknown,Y,-32.661638,152.180137,Golf course,Moving,Male + female. Need help ID'ing from Brendan,NJ,Researcher,MF,AA
Dingo,1,17-03-2023,13:49,13:55,SL,SLF2204,Y,-32.543323,152.310021,MB bins,Resting,,NJ/BP,Researcher,F,S
Dingo,1,17-03-2023,17:25,17:30,,SLM2201,Y,-32.541945,152.310424,Onyx - MB camp,Resting,Comfortable in presence of campers,NJ,Researcher,M,S
Dingo,1,18-03-2023,9:05,9:12,JB,UOM2008,Y,-32.678917,152.165734,Walking along the shoreline,Moving,Andy,NJ,Researcher,M,A
Dingo,1,18-03-2023,13:00,13:10,SL,SLF2203,Y,,,MBR,Moving,,NJ/BP,Researcher,F,S
Dingo,1,17-03-2023,13:00,13:10,JB,UOM2008,Y,-32.670839,152.177629,Walking down middle of road,Walking,Stopping traffic!,NJ/BP,Researcher,M,A
Dingo,2,17-03-2023,16:05:00,16:10,SL,SLF2203 SLM2201,Y,-32.541945,152.310424,MB camp,Resting,KLying around close to campers.,NJ,Researcher,MF,SS
Dingo,1,18-03-2023,10:20,10:25,SL,SLF2203,Y,-32.54569,152.308881,MBR,Moving,,NJ/BP,Researcher,F,S
Dingo,1,17-03-2023,7:25,7:30,SL,SLF2204,Y,-32.54945,152.30772,Banksia Green,Resting,,NJ,Researcher,F,S
Dingo,1,28-04-2023,21:55,21:55,WT,UOM1707,N,-32.643595,152.187089,200m s MRcamp,Moving,Whoppa boy,NJ/JV,Researcher,M,A
Dingo,1,28-04-2023,22:15,22:15,JB,UOF2101,N,-32.661567,152.179665,heading SW,Moving,,NJ/JV,Researcher,F,A
Dingo,2,28-04-2023,22:20,22:23,WT,Unknown Unknown,N,-32.659848,152.183411,Disturbed running along to and close to trap,Moving,,NJ/JV,Researcher,UU,UU
Dingo,1,30-04-2023,12:00,12:10,SL,SLF2204,Y,-32.548954,152.30687,Bansksia green area,Moving,,NJ/JV,Researcher,F,S
Dingo,3,27-04-2021,22:20,23:00,MB,UOF2003 UOF1801 UOM2001,Y,-32.509,152.318686,Boomeri,Raiding,"BP has images .raiding bins, chasing each other. Bombah chased off UOF2003",NJ/BP,Researcher,FMF,ASS
Dingo,1,30-05-2021,6:59,6:59,UNK,Unknown,N,-32.657576,152.181028,Running 200m N SW,Moving,"Black face, ginger/red",BA/NJ,Researcher,U,U
Dingo,1,28-04-2021,0:17,0:17,UNK,Unknown,N,-32.516396,152.322919,,Moving,,NJ/BP,Researcher,U,U
Dingo,1,17-06-2023,,,SL,SLF2204,Y,,,BR- found by NPWS,Dead,Run over and put on side of road,NPWS,Researcher,F,S
Dingo,1,8-03-2023,17:33,17:36,SL,SLF2203,Y,-32.609974,152.228362,On road just beyond SL,Walking and hunting,,NJ/BP,Researcher,F,A
Quoll,1,8-03-2023,17:06,17:07,,Unknown,Y,-32.4865,152.347683,On Mining rd,Walking,,NJ/BP,Researcher,M,A
Dingo,3,8-03-2024,17:44,17:50,WT,WTU2301 WTU2302 WTU2303,Y,-32.640369,152.186251,On road into MRC. ,Running,"Disturbed by car,. Newly emerged from den? MRC subsequently say there are 5",NJ/BP,Researcher,UUU,PPP
Dingo,1,8-03-2023,9:08,9:15,WT,WTF2204,N,-32.640234,152.186628,Bushes near MRC drive,Unknown,Not pushed in to see as possibility at den. Collar downloaded.,NJ/BP,Researcher,F,A
Dingo,6,8-03-2024,10:48,11:28,SL,SLF2202 SLM2301 SLM2302 SLM2303 SLF1501 UOM2002,Y,-32.60783,152.23231,SL campsite,Resting,"Downloaded Socks collar. Red dog, Socks and SLM2301 resting in open at campsite; others more cautious around people and spent more time in the bushes surrounding the camp. ",AD/OM,Researcher,MMMMFF,AAASSS
Dingo,4,7-03-2024,12:52,14:00,SL,SLF1501 UOM2002 SLM2301 SLF2202,Y,-32.60791,152.23247,SL campsite,Resting,"Socks collar triple beeping (low battery), confirmed sighting of her by NJ. SLF2202 nipples up.",NJ/BP/AD/OM,Researcher,MMFF,AAAS
Dingo,1,7-03-2024,17:05,17:16,MB,UOF1801,Y,-32.526725,152.322897,Well's campsite,Moving,Attempted to steal chips from small child but BP intervened. Very mobile and cheeky.,NJ/BP/AD/OM,Researcher,F,A
Dingo,2,8-03-2024,11:36,12:06,MB,UOF1801 UOM2001,Y,-32.54362,152.31095,Mungo Brush campsite and main road,Moving,"Both came together briefly before splitting up again around the campsite, which was very busy.",AD/OM,Researcher,FM,AA
Dingo,1,3-04-2024,0:48,0:58,JB,UOM2004,Y,-32.678468,152.177921,Jimmy's Beach caravan park,Moving,Sighted <100m from cage trap but no luck that night.,AD/DG,Researcher,M,A
Dingo,3,5-05-2024,10:04,10:18,SL,UOM2002 SLF1501 SLF2202,Y,-32.60785,152.23245,SL camp site toilets,Resting,SLF2202 limp hind right leg. No apparent injury.,AD/AJ,Researcher,MFF,AAA
Dingo,2,7-05-2024,13:38,13:44,MB,UOF1801 UOM2001,Y,-32.543977,152.306191,SW side of MB camp underneath toilets,Resting,,AD/AJ,Researcher,FM,AA
Dingo,2,7-05-2024,14:04,14:40,SL,SLF1501 SLM2301,Y,-32.608584,152.232168,Both resting just up on dunes next to track coming from camp site.,Resting,,AD/AJ,Researcher,FM,AS
Dingo,2,8-05-2024,0:16,0:20,SL,UOM2002 SLM2301,Y,-32.568814,152.294577,"Moving north, not far in front of Socks (separate sighting)",Moving,,AD/EH,Researcher,MM,AS
Dingo,1,8-05-2024,0:23,0:25,SL,SLF1501 ,N,-32.579923,152.286894,"Moving north, following Red Dog and SLM2301",Moving,,AD/EH,Researcher,F,A
Dingo,1,8-05-2024,13:36,13:45,WT,WTF2203,Y,-32.6473,152.18518,Along road between Myall river camp and shitworks. GPS is only an estimate.,Moving,,AD/NJ/AJ/EH,Researcher,F,A
Dingo,1,9-05-2024,19:11,19:16,MB,UOF1801,Y,-32.54453,152.30992,MB campsite,Moving,Entered camp along road towards bins and cage trap but quickly turned around and headed NE into the camp.,AD/CR,Researcher,F,
Dingo,1,10-05-2024,11:01,11:02,MB,UOF1801,N,-32.558161,152.301709,Main road by hole in the wall,Moving,Moving north,AD/BP/CR,Researcher,F,
Dingo,1,10-05-2024,7:41,10:45,SL,UOM2002,Y,-32.628935,152.203454,Caught in leg trap at bottom of Piper's creek road behind green NP sign,Darted,"Collared. No apparent injury on trapped leg, but broke a few teeth trying to free himself before darting.",NJ/MCW/BP/AD/AJ/EH/CR/YA,Researcher,M,A
Dingo,2,10-05-2024,8:00,8:03,SL,SLF1501 SLM2301,Y,-32.62903,152.20395,Moved past us darting Red Dog,Moving,,NJ/MCW/BP/AD/AJ/EH/CR/YA,Researcher,FM,AS
Dingo,1,10-05-2024,9:43,9:46,SL,SLM2301,Y,-32.62903,152.20395,Moved past us darting Red Dog,Moving,,NJ/MCW/BP/AD/AJ/EH/CR/YA,Researcher,M,S
Dingo,2,25-06-2024,11:00,11:01,WT,SLM2303 WTF2204,N,-32.64129,152.18845,"Myall river camp, near entrance. ",Moving,"Visual of SLM2303, not of WTF2204. But she was confirmed there by Jake and we downloaded her collar GPS data. VHF pinger on collar either very weak or not working. Could be battery related as no GPS data over last few weeks",AD/DG,Researcher,MF,SA
Dingo,2,25-06-2024,13:25,13:41,SL,UOM2002 SLF1501,Y,-32.6278,152.20521,Piper's creek road - both emerged from bushes by road,Moving,"Socks had very large fish and very pregnant. Red dog moved away from her to mark, drink and eventually headed southward along the beach. Red Dog howling when arrived at beach",AD/DG,Researcher,MF,AA
Dingo,2,25-06-2024,13:46,14:00,SL,SLF1501 SLM2302,Y,-32.628782,152.204304,Piper's creek road intersection with main road before heading down PC trail,Moving,Both howling. Only lasted 10-15s before they moved off. SLM2302 urine marking with Socks overmarking,AD/DG,Researcher,FM,AS
Dingo,1,25-06-2024,16:15,16:20,SL,SLF2202,Y,-32.619085,152.215572,Along road halfway between SL camp and Piper's creek trail,Moving,Pregnant. Big scar on face. Approached vehicle and appeared to be waiting for food. Received reports she was frequently being fed along this road.,AD/DG,Researcher,F,A
Dingo,1,24-07-2024,12:58,13:08,JB,JBF2301,Y,-32.6803,152.14111,Running along beach on corrie island,Moving,Lone young female observed from across the water,AD,Researcher,F,S
Dingo,2,23-07-2024,15:22,15:33,WT,WTF2204 SLM2303,Y,-32.640673,152.189224,By main road next to myall river camp,Resting,"Resting next to main road, then moved into bush.",AD/Chad Beranek,Researcher,FM,AS
Dingo,3,24-07-2024,16:08,16:36,SL,UOM2002 SLM2302 SLF2202,Y,-32.60883,152.23241,All three on top of dunes and moving amongst bushes at the bottom near the suspected den,Moving,"Switching between resting and moving. Red dog and SLM2302 seen coming out of den area (heard puppy noises), SLF2202 came from over the dunes to the north. SLM2302 approached us closely with some playful aggression.",AD,Researcher,MMF,ASS
Dingo,3,24-07-2024,16:40,17:05,SL,UOM2002 SLM2302 SLF2202,Y,-32.6144,152.22227,Moving along main road and then down trail to beach. Marking along the way,Moving,,AD,Researcher,MMF,ASS
